,Город,Регион,Федеральный округ,lat,lng
9,Ак-Довурак,Тыва,Сибирский,"51,178493","90,598474"
18,Александровск-Сахалинский,Сахалинская область,Дальневосточный,"50,894564","142,1594"
28,Анжеро-Судженск,Кемеровская область,Сибирский,"56,083175","86,018216"
192,Гаврилов-Ям,Ярославская область,Центральный,"57,303309","39,849086"
203,Горно-Алтайск,Алтай,Сибирский,"51,958182","85,960373"
226,Гусь-Хрустальный,Владимирская область,Центральный,"55,619818","40,657902"
276,Железногорск-Илимский,Иркутская область,Сибирский,"56,584843","104,114283"
336,Йошкар-Ола,Марий Эл,Приволжский,"56,630842","47,886089"
340,Калач-на-Дону,Волгоградская область,Южный,"48,681995","43,538234"
350,Каменск-Уральский,Свердловская область,Уральский,"56,414927","61,918708"
351,Каменск-Шахтинский,Ростовская область,Южный,"48,320515","40,268923"
352,Камень-на-Оби,Алтайский край,Сибирский,"53,791486","81,354558"
373,Катав-Ивановск,Челябинская область,Уральский,"54,752074","58,198443"
398,Кирово-Чепецк,Кировская область,Приволжский,"58,556581","50,043932"
422,Комсомольск-на-Амуре,Хабаровский край,Дальневосточный,"50,549923","137,007948"
506,Ленинск-Кузнецкий,Кемеровская область,Сибирский,"54,663609","86,162243"
512,Ликино-Дулёво,Московская область,Центральный,"55,707786","38,957742"
519,Лосино-Петровский,Московская область,Центральный,"55,87137","38,200606"
605,Наро-Фоминск,Московская область,Центральный,"55,38616","36,734493"
607,Нарьян-Мар,Ненецкий АО,Северо-Западный,"67,63805","53,006926"
634,Николаевск-на-Амуре,Хабаровский край,Дальневосточный,"53,146143","140,711046"
697,Орехово-Зуево,Московская область,Центральный,"55,805837","38,981592"
720,Переславль-Залесский,Ярославская область,Центральный,"56,736093","38,85431"
725,Петровск-Забайкальский,Забайкальский край,Сибирский,"51,274889","108,846689"
727,Петропавловск-Камчатский,Камчатский край,Дальневосточный,"53,024075","158,643566"
758,Приморско-Ахтарск,Краснодарский край,Южный,"46,043502","38,177645"
772,Пыть-Ях,Ханты-Мансийский АО — Югра,Уральский,"60,758589","72,836526"
786,Ростов-на-Дону,Ростовская область,Южный,"47,222078","39,720349"
804,Санкт-Петербург,Санкт-Петербург,Северо-Западный,"59,939095","30,315868"
821,Северо-Курильск,Сахалинская область,Дальневосточный,"50,676327","156,124106"
846,Славянск-на-Кубани,Краснодарский край,Южный,"45,260439","38,126001"
862,Соль-Илецк,Оренбургская область,Приволжский,"51,16185","54,980336"
874,Спас-Деменск,Калужская область,Центральный,"54,409834","34,018948"
875,Спас-Клепики,Рязанская область,Центральный,"55,131038","40,175786"
877,Спасск-Дальний,Приморский край,Дальневосточный,"44,597641","132,817559"
878,Спасск-Рязанский,Рязанская область,Центральный,"54,407072","40,376424"
918,Тарко-Сале,Ямало-Ненецкий АО,Уральский,"64,911819","77,761055"
963,Улан-Удэ,Бурятия,Сибирский,"51,834464","107,584574"
969,Урус-Мартан,Чечня,Северо-Кавказский,"43,127617","45,540614"
973,Усолье-Сибирское,Иркутская область,Сибирский,"52,756648","103,638769"
976,Усть-Джегута,Карачаево-Черкесия,Северо-Кавказский,"44,083895","41,971042"
977,Усть-Илимск,Иркутская область,Сибирский,"54,55712","100,578038"
978,Усть-Катав,Челябинская область,Уральский,"54,930289","58,1747"
979,Усть-Кут,Иркутская область,Сибирский,"56,792838","105,775699"
980,Усть-Лабинск,Краснодарский край,Южный,"45,213625","39,691234"
994,Ханты-Мансийск,Ханты-Мансийский АО — Югра,Уральский,"61,00318","69,018902"
1063,Южно-Сахалинск,Сахалинская область,Дальневосточный,"46,959155","142,738023"
1064,Южно-Сухокумск,Дагестан,Северо-Кавказский,"44,660166","45,649966"
1067,Юрьев-Польский,Владимирская область,Центральный,"56,49925","39,680814"
