,Город,Федеральный округ,lat,lng
15,Алейск,Сибирский,"52,492167","82,779448"
68,Барнаул,Сибирский,"53,346785","83,776856"
82,Белокуриха,Сибирский,"51,99606","84,984004"
94,Бийск,Сибирский,"52,539297","85,21382"
205,Горняк,Сибирский,"50,997775","81,464198"
298,Заринск,Сибирский,"53,706332","84,931488"
311,Змеиногорск,Сибирский,"51,158015","82,18727"
352,Камень-на-Оби,Сибирский,"53,791486","81,354558"
641,Новоалтайск,Сибирский,"53,412021","83,93107"
790,Рубцовск,Сибирский,"51,501207","81,2078"
844,Славгород,Сибирский,"52,999375","78,64594"
1076,Яровое,Сибирский,"52,923446","78,569601"
