,Город,Федеральный округ,lat,lng
4,Агидель,Приволжский,"55,899835","53,92204"
57,Баймак,Приволжский,"52,591257","58,311199"
76,Белебей,Приволжский,"54,103441","54,111279"
84,Белорецк,Приволжский,"53,967621","58,410023"
98,Бирск,Приволжский,"55,417531","55,530707"
101,Благовещенск,Приволжский,"50,28702","127,541025"
227,Давлеканово,Приволжский,"54,222727","55,03127"
259,Дюртюли,Приволжский,"55,48529","54,873463"
335,Ишимбай,Приволжский,"53,454621","56,04395"
478,Кумертау,Приволжский,"52,756523","55,796976"
558,Межгорье,Приволжский,"54,239989","57,961225"
562,Мелеуз,Приволжский,"52,958964","55,92831"
620,Нефтекамск,Приволжский,"56,088408","54,248236"
686,Октябрьский,Приволжский,"54,481448","53,46557"
799,Салават,Приволжский,"53,361651","55,924672"
840,Сибай,Приволжский,"52,72051","58,666429"
889,Стерлитамак,Приволжский,"53,630403","55,930825"
947,Туймазы,Приволжский,"54,599988","53,695008"
982,Уфа,Приволжский,"54,735147","55,958727"
984,Учалы,Приволжский,"54,319176","59,378631"
1074,Янаул,Приволжский,"56,264957","54,929824"
