,Город,Федеральный округ,lat,lng
162,Волгоград,Южный,"48,707073","44,51693"
166,Волжский,Южный,"56,053804","48,555271"
256,Дубовка,Южный,"49,055369","44,826957"
280,Жирновск,Южный,"50,978713","44,778834"
340,Калач-на-Дону,Южный,"48,681995","43,538234"
355,Камышин,Южный,"50,083698","45,407367"
439,Котельниково,Южный,"47,631528","43,142625"
442,Котово,Южный,"50,322058","44,801319"
456,Краснослободск,Южный,"54,424901","43,784435"
505,Ленинск,Южный,"48,693682","45,199228"
575,Михайловка,Южный,"50,070847","43,239723"
633,Николаевск,Южный,"50,025878","45,45911"
642,Новоаннинский,Южный,"50,529658","42,66667"
713,Палласовка,Южный,"50,050167","46,880398"
723,ПетровВал,Южный,"58,599071","35,798098"
834,Серафимович,Южный,"49,584135","42,734008"
901,Суровикино,Южный,"48,605493","42,844195"
970,Урюпинск,Южный,"50,794522","41,995844"
989,Фролово,Южный,"49,765861","43,649292"
