,Город,Федеральный округ,lat,lng
104,Бобров,Центральный,"51,097718","40,035604"
109,Богучар,Центральный,"49,935512","40,559079"
119,Борисоглебск,Центральный,"51,367725","42,074977"
133,Бутурлиновка,Центральный,"50,835367","40,584825"
175,Воронеж,Центральный,"51,660781","39,200269"
339,Калач,Центральный,"50,424119","41,01624"
515,Лиски,Центральный,"50,987298","39,497099"
643,Нововоронеж,Центральный,"51,309213","39,216277"
661,Новохопёрск,Центральный,"51,100286","41,631452"
704,Острогожск,Центральный,"50,860139","39,082365"
711,Павловск,Центральный,"59,686411","30,431598"
737,Поворино,Центральный,"51,190773","42,245576"
785,Россошь,Центральный,"50,192899","39,57652"
832,Семилуки,Центральный,"51,695255","39,018953"
1060,Эртиль,Центральный,"51,835727","40,799243"
