,Город,Федеральный округ,lat,lng
132,Буйнакск,Северо-Кавказский,"42,821749","47,115927"
228,ДагестанскиеОгни,Северо-Кавказский,"54,222727","55,03127"
237,Дербент,Северо-Кавказский,"42,057669","48,288776"
321,Избербаш,Северо-Кавказский,"42,565141","47,871078"
372,Каспийск,Северо-Кавказский,"42,890833","47,635674"
383,Кизилюрт,Северо-Кавказский,"43,204637","46,866878"
384,Кизляр,Северо-Кавказский,"43,84738","46,711685"
552,Махачкала,Северо-Кавказский,"42,98306","47,504682"
997,Хасавюрт,Северо-Кавказский,"43,246265","46,590044"
1064,Южно-Сухокумск,Северо-Кавказский,"44,660166","45,649966"
