,Город,Федеральный округ,lat,lng
21,Алзамай,Сибирский,"55,555072","98,664357"
26,Ангарск,Сибирский,"52,544358","103,88824"
56,Байкальск,Сибирский,"51,522821","104,149928"
99,Бирюсинск,Сибирский,"55,960876","97,820453"
123,Братск,Сибирский,"56,151362","101,63408"
157,Вихоревка,Сибирский,"56,120718","101,170396"
276,Железногорск-Илимский,Сибирский,"56,584843","104,114283"
308,Зима,Сибирский,"53,92072","102,049065"
330,Иркутск,Сибирский,"52,287054","104,281047"
391,Киренск,Сибирский,"57,775723","108,110816"
626,Нижнеудинск,Сибирский,"54,901233","99,026387"
813,Саянск,Сибирский,"53,139472","91,4792"
818,Свирск,Сибирский,"53,066567","103,342244"
849,Слюдянка,Сибирский,"51,656501","103,718845"
914,Тайшет,Сибирский,"55,940502","98,002982"
973,Усолье-Сибирское,Сибирский,"52,756648","103,638769"
977,Усть-Илимск,Сибирский,"54,55712","100,578038"
979,Усть-Кут,Сибирский,"56,792838","105,775699"
1016,Черемхово,Сибирский,"53,136911","103,090096"
1042,Шелехов,Сибирский,"52,210209","104,097395"
