,Город,Федеральный округ,lat,lng
55,Багратионовск,Северо-Западный,"54,386509","20,639638"
66,Балтийск,Северо-Западный,"54,644072","19,892177"
196,Гвардейск,Северо-Западный,"54,647708","21,071341"
222,Гурьевск,Северо-Западный,"54,285935","85,947635"
224,Гусев,Северо-Западный,"54,591841","22,201117"
303,Зеленоградск,Северо-Западный,"54,95993","20,475354"
342,Калининград,Северо-Западный,"54,70739","20,507307"
452,Краснознаменск,Северо-Западный,"55,600506","37,042489"
498,Ладушкин,Северо-Западный,"54,569116","20,172954"
547,Мамоново,Северо-Западный,"54,463785","19,942267"
614,Неман,Северо-Западный,"55,038836","22,028146"
618,Нестеров,Северо-Западный,"54,631368","22,571357"
682,Озёрск,Северо-Западный,"55,763184","60,707599"
733,Пионерский,Северо-Западный,"54,949482","20,224841"
744,Полесск,Северо-Западный,"54,862777","21,109879"
754,Правдинск,Северо-Западный,"54,44634","21,018817"
756,Приморск,Северо-Западный,"60,366014","28,613552"
814,Светлогорск,Северо-Западный,"54,944006","20,151512"
816,Светлый,Северо-Западный,"54,67737","20,135719"
845,Славск,Северо-Западный,"55,043819","21,680067"
854,Советск,Северо-Западный,"57,587599","48,959521"
1024,Черняховск,Северо-Западный,"54,630706","21,819503"
