,Город,Федеральный округ,lat,lng
83,Беломорск,Северо-Западный,"64,53032","34,763328"
380,Кемь,Северо-Западный,"64,955532","34,598371"
424,Кондопога,Северо-Западный,"62,20475","34,272758"
436,Костомукша,Северо-Западный,"64,588014","30,598361"
502,Лахденпохья,Северо-Западный,"61,518857","30,199491"
555,Медвежьегорск,Северо-Западный,"62,914998","34,473101"
690,Олонец,Северо-Западный,"60,979719","32,972034"
726,Петрозаводск,Северо-Западный,"61,785017","34,346878"
734,Питкяранта,Северо-Западный,"61,573083","31,471254"
766,Пудож,Северо-Западный,"61,80589","36,533"
828,Сегежа,Северо-Западный,"63,743701","34,312617"
867,Сортавала,Северо-Западный,"61,703306","30,691723"
898,Суоярви,Северо-Западный,"62,087896","32,373738"
