,Город,Федеральный округ,lat,lng
28,Анжеро-Судженск,Сибирский,"56,083175","86,018216"
79,Белово,Сибирский,"54,422114","86,303692"
91,Берёзовский,Сибирский,"56,910173","60,798203"
223,Гурьевск,Сибирский,"54,285935","85,947635"
344,Калтан,Сибирский,"53,521083","87,27716"
379,Кемерово,Сибирский,"55,354727","86,088374"
403,Киселёвск,Сибирский,"54,006025","86,636679"
506,Ленинск-Кузнецкий,Сибирский,"54,663609","86,162243"
549,Мариинск,Сибирский,"56,206952","87,742263"
559,Междуреченск,Сибирский,"53,686596","88,070372"
593,Мыски,Сибирский,"53,712509","87,805747"
647,Новокузнецк,Сибирский,"53,757547","87,136044"
700,Осинники,Сибирский,"53,598748","87,337069"
745,Полысаево,Сибирский,"54,605443","86,280901"
760,Прокопьевск,Сибирский,"53,884487","86,750055"
800,Салаир,Сибирский,"54,235127","85,803007"
913,Тайга,Сибирский,"56,065138","85,631024"
921,Таштагол,Сибирский,"52,763912","87,848309"
938,Топки,Сибирский,"55,276508","85,615223"
1066,Юрга,Сибирский,"55,713557","84,933869"
