,Город,Федеральный округ,lat,lng
74,БелаяХолуница,Приволжский,"57,78567","36,693871"
190,ВятскиеПоляны,Приволжский,"55,205944","34,298037"
314,Зуевка,Приволжский,"58,403217","51,133426"
396,Киров,Приволжский,"58,603581","49,667978"
398,Кирово-Чепецк,Приволжский,"58,556581","50,043932"
401,Кирс,Приволжский,"59,339987","52,241516"
440,Котельнич,Приволжский,"58,303426","48,347508"
521,Луза,Приволжский,"60,629099","47,261229"
543,Малмыж,Приволжский,"56,524461","50,678232"
589,Мураши,Приволжский,"59,3956","48,963851"
668,Нолинск,Приволжский,"57,559708","49,935712"
692,Омутнинск,Приволжский,"58,66406","52,177152"
848,Слободской,Приволжский,"58,731886","50,183674"
855,Советск,Приволжский,"57,587599","48,959521"
869,Сосновка,Приволжский,"56,253352","51,283364"
968,Уржум,Приволжский,"57,109738","50,005717"
1075,Яранск,Приволжский,"57,304228","47,885855"
