,Город,Федеральный округ,lat,lng
174,Воркута,Северо-Западный,"67,49741","64,061091"
180,Вуктыл,Северо-Западный,"63,844407","57,29984"
268,Емва,Северо-Западный,"62,598375","50,886569"
327,Инта,Северо-Западный,"66,03682","60,115367"
567,Микунь,Северо-Западный,"62,358008","50,071986"
730,Печора,Северо-Западный,"65,148602","57,223977"
872,Сосногорск,Северо-Западный,"63,59911","53,876441"
907,Сыктывкар,Северо-Западный,"61,668793","50,836399"
971,Усинск,Северо-Западный,"65,994144","57,55701"
983,Ухта,Северо-Западный,"63,562626","53,684022"
