,Город,Федеральный округ,lat,lng
3,Абинск,Южный,"44,866256","38,151163"
25,Анапа,Южный,"44,894965","37,31617"
32,Апшеронск,Южный,"44,468327","39,736707"
38,Армавир,Южный,"44,997655","41,129644"
85,Белореченск,Южный,"44,761141","39,87114"
198,Геленджик,Южный,"44,561141","38,076809"
210,ГорячийКлюч,Южный,"56,201695","42,691194"
221,Гулькевичи,Южный,"45,360342","40,695227"
261,Ейск,Южный,"46,711524","38,276451"
429,Кореновск,Южный,"45,462742","39,448033"
450,Краснодар,Южный,"45,03547","38,975313"
466,Кропоткин,Южный,"45,434686","40,575994"
467,Крымск,Южный,"44,934986","37,986196"
482,Курганинск,Южный,"44,887641","40,591364"
495,Лабинск,Южный,"44,635387","40,724459"
646,Новокубанск,Южный,"45,103812","41,047493"
653,Новороссийск,Южный,"44,723912","37,768974"
758,Приморско-Ахтарск,Южный,"46,043502","38,177645"
846,Славянск-на-Кубани,Южный,"45,260439","38,126001"
873,Сочи,Южный,"43,585525","39,723062"
926,Темрюк,Южный,"45,27841","37,370194"
929,Тимашёвск,Южный,"45,61478","38,934332"
931,Тихорецк,Южный,"45,85468","40,125929"
946,Туапсе,Южный,"44,09564","39,073553"
980,Усть-Лабинск,Южный,"45,213625","39,691234"
993,Хадыженск,Южный,"44,422804","39,537326"
