,Город,Федеральный округ,lat,lng
244,Дмитриев,Центральный,"52,127774","35,080353"
275,Железногорск,Центральный,"52,337971","35,351743"
486,Курск,Центральный,"51,730361","36,192647"
489,Курчатов,Центральный,"51,660496","35,657143"
527,Льгов,Центральный,"51,656942","35,259432"
679,Обоянь,Центральный,"51,20995","36,26744"
796,Рыльск,Центральный,"51,571431","34,683288"
894,Суджа,Центральный,"51,190953","35,268918"
986,Фатеж,Центральный,"52,091789","35,853892"
1053,Щигры,Центральный,"51,87619","36,912"
