,Город,Федеральный округ,lat,lng
31,Апрелевка,Центральный,"55,545166","37,07322"
63,Балашиха,Центральный,"55,796339","37,938199"
124,Бронницы,Центральный,"55,425471","38,264108"
143,Верея,Центральный,"55,343369","36,185694"
154,Видное,Центральный,"55,557174","37,708644"
169,Волоколамск,Центральный,"56,035728","35,958537"
177,Воскресенск,Центральный,"55,322978","38,673353"
183,Высоковск,Центральный,"56,320243","36,551236"
201,Голицыно,Центральный,"55,615944","36,987117"
235,Дедовск,Центральный,"55,859984","37,120669"
240,Дзержинский,Центральный,"55,630939","37,849616"
245,Дмитров,Центральный,"56,343942","37,520348"
249,Долгопрудный,Центральный,"55,933564","37,514104"
254,Дрезна,Центральный,"55,741404","38,842371"
255,Дубна,Центральный,"56,744002","37,173176"
260,Егорьевск,Центральный,"55,38305","39,035833"
283,Жуковский,Центральный,"53,498298","33,774598"
295,Зарайск,Центральный,"54,756973","38,874845"
300,Звенигород,Центральный,"55,729686","36,855325"
317,Ивантеевка,Центральный,"55,971718","37,924338"
333,Истра,Центральный,"55,914287","36,860284"
377,Кашира,Центральный,"54,834589","38,15154"
405,Клин,Центральный,"56,331693","36,728716"
417,Коломна,Центральный,"55,103152","38,752917"
431,Королёв,Центральный,"55,922212","37,854629"
438,Котельники,Центральный,"55,65984","37,863199"
446,Красноармейск,Центральный,"56,120959","38,14094"
449,Красногорск,Центральный,"55,831099","37,330192"
451,Краснозаводск,Центральный,"56,439338","38,245261"
453,Краснознаменск,Центральный,"55,600506","37,042489"
469,Кубинка,Центральный,"55,575556","36,695209"
485,Куровское,Центральный,"55,579144","38,920866"
512,Ликино-Дулёво,Центральный,"55,707786","38,957742"
517,Лобня,Центральный,"56,012269","37,474821"
519,Лосино-Петровский,Центральный,"55,87137","38,200606"
523,Луховицы,Центральный,"54,965217","39,025394"
526,Лыткарино,Центральный,"55,579297","37,908986"
529,Люберцы,Центральный,"55,676494","37,898116"
580,Можайск,Центральный,"55,506714","36,017358"
594,Мытищи,Центральный,"55,910483","37,736402"
605,Наро-Фоминск,Центральный,"55,38616","36,734493"
667,Ногинск,Центральный,"55,854522","38,441831"
681,Одинцово,Центральный,"55,678859","37,263986"
684,Озёры,Центральный,"54,854087","38,559824"
697,Орехово-Зуево,Центральный,"55,805837","38,981592"
712,ПавловскийПосад,Центральный,"59,686411","30,431598"
738,Подольск,Центральный,"55,431177","37,544737"
762,Протвино,Центральный,"54,870621","37,218316"
769,Пушкино,Центральный,"56,010428","37,847155"
770,Пущино,Центральный,"54,832479","37,620977"
777,Раменское,Центральный,"55,567326","38,22584"
781,Реутов,Центральный,"55,760515","37,855141"
788,Рошаль,Центральный,"55,663283","39,862759"
792,Руза,Центральный,"55,701516","36,195997"
836,СергиевПосад,Центральный,"55,520105","45,481361"
838,Серпухов,Центральный,"54,913536","37,416763"
861,Солнечногорск,Центральный,"56,185102","36,977631"
883,СтараяКупавна,Центральный,"45,044521","41,969083"
892,Ступино,Центральный,"54,88688","38,07839"
915,Талдом,Центральный,"56,73084","37,527633"
990,Фрязино,Центральный,"55,957938","38,052339"
1000,Химки,Центральный,"55,88874","37,43039"
1003,Хотьково,Центральный,"56,252182","37,978677"
1021,Черноголовка,Центральный,"56,010005","38,379245"
1025,Чехов,Центральный,"55,149851","37,466997"
1052,Щёлково,Центральный,"55,920209","37,991478"
1055,Электрогорск,Центральный,"55,883161","38,786209"
1056,Электросталь,Центральный,"55,784445","38,444849"
1057,Электроугли,Центральный,"55,716859","38,219659"
1081,Яхрома,,"56,28989","37,483858"
