,Город,Федеральный округ,lat,lng
120,Боровичи,Северо-Западный,"58,388219","33,914025"
134,Валдай,Северо-Западный,"57,980199","33,246667"
138,ВеликийНовгород,Северо-Западный,"55,603969","31,197214"
541,МалаяВишера,Северо-Западный,"55,205024","67,248601"
687,Окуловка,Северо-Западный,"58,377145","33,298679"
722,Пестово,Северо-Западный,"58,599071","35,798098"
864,Сольцы,Северо-Западный,"58,120168","30,309355"
884,СтараяРусса,Северо-Западный,"45,044521","41,969083"
1001,Холм,Северо-Западный,"57,145202","31,178781"
1029,Чудово,Северо-Западный,"59,12119","31,670285"
