,Город,Федеральный округ,lat,lng
67,Барабинск,Сибирский,"55,350412","78,341923"
89,Бердск,Сибирский,"54,758288","83,107135"
113,Болотное,Сибирский,"55,672001","84,385447"
332,Искитим,Сибирский,"54,642582","83,306382"
363,Карасук,Сибирский,"53,734294","78,042389"
366,Каргат,Сибирский,"55,194476","80,283039"
475,Куйбышев,Сибирский,"53,195538","50,101783"
480,Купино,Сибирский,"54,366046","77,297254"
654,Новосибирск,Сибирский,"55,030199","82,92043"
680,Обь,Сибирский,"54,994594","82,693758"
920,Татарск,Сибирский,"55,214532","75,97409"
933,Тогучин,Сибирский,"55,238013","84,402865"
1017,Черепаново,Сибирский,"54,228417","83,372201"
1030,Чулым,Сибирский,"55,091258","80,963288"
