,Город,Федеральный округ,lat,lng
2,Абдулино,Приволжский,"53,677839","53,647263"
127,Бугуруслан,Приволжский,"53,6523","52,432606"
129,Бузулук,Приволжский,"52,788116","52,262438"
470,Кувандык,Приволжский,"51,478483","57,361168"
556,Медногорск,Приволжский,"51,403794","57,58324"
657,Новотроицк,Приволжский,"51,196417","58,301767"
696,Оренбург,Приволжский,"51,768199","55,096955"
698,Орск,Приволжский,"51,229362","58,475196"
862,Соль-Илецк,Приволжский,"51,16185","54,980336"
865,Сорочинск,Приволжский,"52,429092","53,151016"
1080,Ясный,Приволжский,"51,036877","59,874349"
