,Город,Федеральный округ,lat,lng
78,Белинский,Приволжский,"52,96562","43,408679"
207,Городище,Приволжский,"53,272758","45,70267"
296,Заречный,Приволжский,"53,19611","45,169071"
348,Каменка,Приволжский,"53,185524","44,046896"
474,Кузнецк,Приволжский,"53,119335","46,601165"
628,НижнийЛомов,Приволжский,"54,901233","99,026387"
636,Никольск,Приволжский,"53,71447","46,084356"
716,Пенза,Приволжский,"53,195063","45,018316"
837,Сердобск,Приволжский,"52,455683","44,202735"
876,Спасск,Приволжский,"53,926494","43,187729"
902,Сурск,Приволжский,"53,07604","45,6911"
