,Город,Федеральный округ,lat,lng
137,ВеликиеЛуки,Северо-Западный,"55,603969","31,197214"
197,Гдов,Северо-Западный,"58,744393","27,819585"
247,Дно,Северо-Западный,"57,826914","29,962992"
609,Невель,Северо-Западный,"56,02022","29,923969"
652,Новоржев,Северо-Западный,"57,029623","29,332419"
656,Новосокольники,Северо-Западный,"56,340749","30,152761"
694,Опочка,Северо-Западный,"56,714151","28,658881"
702,Остров,Северо-Западный,"57,345188","28,343806"
731,Печоры,Северо-Западный,"57,813934","27,609064"
749,Порхов,Северо-Западный,"57,764855","29,553145"
764,Псков,Северо-Западный,"57,81925","28,332065"
767,Пустошка,Северо-Западный,"56,337526","29,36678"
771,Пыталово,Северо-Западный,"57,063925","27,92396"
820,Себеж,Северо-Западный,"56,277398","28,484814"
