,Город,Федеральный округ,lat,lng
8,Азов,Южный,"47,112442","39,423581"
10,Аксай,Южный,"47,269804","39,862615"
70,Батайск,Южный,"47,138333","39,744469"
73,БелаяКалитва,Южный,"57,78567","36,693871"
163,Волгодонск,Южный,"47,516545","42,198423"
220,Гуково,Южный,"48,058442","39,940274"
251,Донецк,Южный,"48,015877","37,80285"
301,Зверево,Южный,"55,499999","36,926211"
306,Зерноград,Южный,"46,849564","40,312815"
351,Каменск-Шахтинский,Южный,"48,320515","40,268923"
426,Константиновск,Южный,"47,577341","41,096694"
463,КрасныйСулин,Южный,"56,010563","92,852572"
568,Миллерово,Южный,"48,92173","40,394849"
584,Морозовск,Южный,"48,351157","41,830878"
663,Новочеркасск,Южный,"47,422052","40,093725"
664,Новошахтинск,Южный,"47,757738","39,93643"
761,Пролетарск,Южный,"46,703849","41,727544"
786,Ростов-на-Дону,Южный,"47,222078","39,720349"
802,Сальск,Южный,"46,475177","41,541135"
831,Семикаракорск,Южный,"47,517792","40,811505"
912,Таганрог,Южный,"47,220983","38,9173"
1005,Цимлянск,Южный,"47,647714","42,09306"
1038,Шахты,Южный,"47,709601","40,215797"
