,Город,Федеральный округ,lat,lng
370,Касимов,Центральный,"54,937288","41,391368"
428,Кораблино,Центральный,"53,926812","40,034463"
574,Михайлов,Центральный,"54,232506","39,023508"
649,Новомичуринск,Центральный,"54,034574","39,750865"
795,Рыбное,Центральный,"54,730806","39,505463"
797,Ряжск,Центральный,"53,708949","40,062894"
798,Рязань,Центральный,"54,629216","39,736375"
809,Сасово,Центральный,"54,349928","41,924087"
843,Скопин,Центральный,"53,82359","39,549328"
875,Спас-Клепики,Центральный,"55,131038","40,175786"
878,Спасск-Рязанский,Центральный,"54,407072","40,376424"
1040,Шацк,Центральный,"51,496839","23,930185"
