,Город,Федеральный округ,lat,lng
278,Жигулёвск,Приволжский,"53,401714","49,494657"
388,Кинель,Приволжский,"53,221004","50,634394"
619,Нефтегорск,Приволжский,"52,797221","51,163799"
648,Новокуйбышевск,Приволжский,"53,099469","49,947767"
685,Октябрьск,Приволжский,"53,164038","48,670668"
706,Отрадный,Приволжский,"51,691727","39,21793"
750,Похвистнево,Приволжский,"53,653282","52,122346"
803,Самара,Приволжский,"53,195538","50,101783"
906,Сызрань,Приволжский,"53,155782","48,474485"
934,Тольятти,Приволжский,"53,508816","49,419207"
1008,Чапаевск,Приволжский,"52,981709","49,710217"
