,Город,Федеральный округ,lat,lng
37,Аркадак,Приволжский,"51,938814","43,499849"
48,Аткарск,Приволжский,"51,873632","45,000296"
61,Балаково,Приволжский,"52,018424","47,819667"
64,Балашов,Приволжский,"51,554601","43,146469"
173,Вольск,Приволжский,"52,045978","47,38729"
271,Ершов,Приволжский,"51,352068","48,283494"
343,Калининск,Приволжский,"51,499671","44,48548"
447,Красноармейск,Приволжский,"56,120959","38,14094"
462,КрасныйКут,Приволжский,"56,010563","92,852572"
551,Маркс,Приволжский,"51,713333","46,740009"
658,Новоузенск,Приволжский,"50,466326","48,132119"
724,Петровск,Приволжский,"52,314023","45,389931"
765,Пугачёв,Приволжский,"52,014871","48,795588"
789,Ртищево,Приволжский,"52,257455","43,785657"
807,Саратов,Приволжский,"51,533103","46,034158"
998,Хвалынск,Приволжский,"52,495501","48,105772"
1045,Шиханы,Приволжский,"52,114774","47,202327"
1059,Энгельс,Приволжский,"51,485489","46,126783"
