,Город,Федеральный округ,lat,lng
12,Алапаевск,Уральский,"57,853038","61,702672"
43,Артёмовский,Уральский,"57,338402","61,894651"
45,Асбест,Уральский,"57,005274","61,458114"
92,Берёзовский,Уральский,"56,910173","60,798203"
105,Богданович,Уральский,"56,776502","62,046295"
145,ВерхнийТагил,Уральский,"53,876143","59,216953"
147,ВерхняяПышма,Уральский,"53,876143","59,216953"
148,ВерхняяСалда,Уральский,"53,876143","59,216953"
149,ВерхняяТура,Уральский,"53,876143","59,216953"
150,Верхотурье,Уральский,"58,862216","60,810213"
172,Волчанск,Уральский,"59,934934","60,078796"
234,Дегтярск,Уральский,"56,698463","60,086674"
262,Екатеринбург,Уральский,"56,838011","60,597465"
297,Заречный,Уральский,"53,19611","45,169071"
318,Ивдель,Уральский,"60,697349","60,41729"
329,Ирбит,Уральский,"57,683819","63,057664"
350,Каменск-Уральский,Уральский,"56,414927","61,918708"
356,Камышлов,Уральский,"56,846578","62,712288"
368,Карпинск,Уральский,"59,766534","60,001227"
375,Качканар,Уральский,"58,70511","59,483959"
397,Кировград,Уральский,"57,432415","60,062896"
458,Краснотурьинск,Уральский,"59,763761","60,193493"
459,Красноуральск,Уральский,"58,35369","60,055961"
460,Красноуфимск,Уральский,"56,617744","57,770692"
491,Кушва,Уральский,"58,282566","59,764682"
576,Михайловск,Уральский,"45,129667","42,028803"
612,Невьянск,Уральский,"57,491225","60,218251"
627,НижниеСерги,Уральский,"54,901233","99,026387"
630,НижнийТагил,Уральский,"54,901233","99,026387"
631,НижняяСалда,Уральский,"54,901233","99,026387"
632,НижняяТура,Уральский,"54,901233","99,026387"
639,НоваяЛяля,Уральский,"59,704642","30,788966"
660,Новоуральск,Уральский,"57,247235","60,095604"
718,Первоуральск,Уральский,"56,905839","59,943249"
743,Полевской,Уральский,"56,446499","60,177072"
779,Ревда,Уральский,"56,800079","59,908718"
780,Реж,Уральский,"57,373772","61,391639"
825,Североуральск,Уральский,"60,153281","59,952556"
880,Среднеуральск,Уральский,"56,991837","60,477136"
905,СухойЛог,Уральский,"54,101752","35,339319"
908,Сысерть,Уральский,"56,502281","60,810025"
911,Тавда,Уральский,"58,041871","65,272595"
916,Талица,Уральский,"56,595192","37,661689"
950,Туринск,Уральский,"58,039442","63,698144"
