,Город,Федеральный округ,lat,lng
136,Велиж,Центральный,"55,603969","31,197214"
189,Вязьма,Центральный,"55,205944","34,298037"
236,Демидов,Центральный,"55,26444","31,515011"
238,Десногорск,Центральный,"54,152366","33,287872"
253,Дорогобуж,Центральный,"54,912677","33,297035"
258,Духовщина,Центральный,"55,191351","32,414171"
266,Ельня,Центральный,"54,575906","33,182734"
752,Починок,Центральный,"54,406265","32,439782"
784,Рославль,Центральный,"53,947309","32,85678"
791,Рудня,Центральный,"54,947031","31,093576"
811,Сафоново,Центральный,"55,106304","33,237917"
850,Смоленск,Центральный,"54,782635","32,045251"
909,Сычёвка,Центральный,"55,83161","34,277834"
1078,Ярцево,Центральный,"57,535951","40,006121"
