,Город,Федеральный округ,lat,lng
103,Благодарный,Северо-Кавказский,"45,095649","43,440021"
128,Будённовск,Северо-Кавказский,"44,781528","44,165024"
199,Георгиевск,Северо-Кавказский,"44,148599","43,473896"
272,Ессентуки,Северо-Кавказский,"44,044526","42,85891"
273,Железноводск,Северо-Кавказский,"44,132058","43,030533"
305,Зеленокумск,Северо-Кавказский,"44,403288","43,884148"
322,Изобильный,Северо-Кавказский,"45,368536","41,708644"
328,Ипатово,Северо-Кавказский,"45,717419","42,911147"
404,Кисловодск,Северо-Кавказский,"43,905225","42,716796"
508,Лермонтов,Северо-Кавказский,"44,105344","42,973175"
569,МинеральныеВоды,Северо-Кавказский,"48,92173","40,394849"
577,Михайловск,Северо-Кавказский,"45,129667","42,028803"
611,Невинномысск,Северо-Кавказский,"44,638287","41,936061"
621,Нефтекумск,Северо-Кавказский,"44,750586","44,994088"
640,Новоалександровск,Северо-Кавказский,"45,493304","41,215388"
651,Новопавловск,Северо-Кавказский,"43,957369","43,631901"
773,Пятигорск,Северо-Кавказский,"44,03929","43,07084"
815,Светлоград,Северо-Кавказский,"45,328573","42,856628"
882,Ставрополь,Северо-Кавказский,"45,044521","41,969083"
