,Город,Федеральный округ,lat,lng
27,Андреаполь,Центральный,"56,65079","32,262023"
72,Бежецк,Центральный,"57,78567","36,693871"
88,Белый,Центральный,"55,83385","32,938805"
112,Бологое,Центральный,"57,885626","34,053776"
152,Весьегонск,Центральный,"58,658355","37,259019"
186,ВышнийВолочёк,Центральный,"61,006355","36,449511"
293,ЗападнаяДвина,Центральный,"69,400373","32,450139"
313,Зубцов,Центральный,"56,176143","34,58256"
346,Калязин,Центральный,"57,240412","37,855078"
376,Кашин,Центральный,"57,358381","37,61344"
386,Кимры,Центральный,"56,873338","37,355678"
423,Конаково,Центральный,"56,713217","36,779309"
464,КрасныйХолм,Центральный,"56,010563","92,852572"
471,Кувшиново,Центральный,"57,028957","34,165877"
516,Лихославль,Центральный,"57,122219","35,466808"
613,Нелидово,Центральный,"56,223296","32,776587"
701,Осташков,Центральный,"57,142872","33,115441"
782,Ржев,Центральный,"56,262877","34,329065"
885,Старица,Центральный,"56,514927","34,933586"
922,Тверь,Центральный,"56,859611","35,911896"
939,Торжок,Центральный,"57,041338","34,96014"
940,Торопец,Центральный,"56,501173","31,635466"
960,Удомля,Центральный,"57,876779","35,00511"
