,Город,Федеральный округ,lat,lng
87,Белоярский,Уральский,"63,716043","66,667588"
410,Когалым,Уральский,"62,264069","74,482761"
501,Лангепас,Уральский,"61,253701","75,180725"
532,Лянтор,Уральский,"61,620663","72,155352"
554,Мегион,Уральский,"61,03289","76,102612"
622,Нефтеюганск,Уральский,"61,088212","72,616331"
624,Нижневартовск,Уральский,"60,939716","76,569628"
674,Нягань,Уральский,"62,145759","65,433654"
740,Покачи,Уральский,"61,742253","75,59412"
772,Пыть-Ях,Уральский,"60,758589","72,836526"
775,Радужный,Уральский,"62,134265","77,458439"
900,Сургут,Уральский,"61,254035","73,396221"
966,Урай,Уральский,"60,129632","64,803944"
994,Ханты-Мансийск,Уральский,"61,00318","69,018902"
1061,Югорск,Уральский,"61,314917","63,331964"
