,Город,Федеральный округ,lat,lng
51,Аша,Уральский,"54,990628","57,278469"
58,Бакал,Уральский,"54,938064","58,809171"
144,Верхнеуральск,Уральский,"53,876143","59,216953"
146,ВерхнийУфалей,Уральский,"53,876143","59,216953"
267,Еманжелинск,Уральский,"54,752147","61,317223"
309,Златоуст,Уральский,"55,172871","59,671841"
361,Карабаш,Уральский,"55,490789","60,203042"
369,Карталы,Уральский,"53,053681","60,647753"
371,Касли,Уральский,"55,893652","60,765918"
373,Катав-Ивановск,Уральский,"54,752074","58,198443"
427,Копейск,Уральский,"55,116732","61,61797"
430,Коркино,Уральский,"54,892493","61,393049"
490,Куса,Уральский,"55,338597","59,438603"
493,Кыштым,Уральский,"55,707877","60,538949"
535,Магнитогорск,Уральский,"53,407158","58,980282"
566,Миасс,Уральский,"55,045635","60,107731"
571,Миньяр,Уральский,"55,070912","57,548458"
675,Нязепетровск,Уральский,"56,053673","59,609678"
683,Озёрск,Уральский,"55,763184","60,707599"
810,Сатка,Уральский,"55,040492","59,028881"
841,Сим,Уральский,"54,990716","57,689969"
851,Снежинск,Уральский,"56,085209","60,732536"
943,Трёхгорный,Уральский,"54,817842","58,446423"
944,Троицк,Уральский,"54,083217","61,559759"
978,Усть-Катав,Уральский,"54,930289","58,1747"
1010,Чебаркуль,Уральский,"54,977785","60,37012"
1014,Челябинск,Уральский,"55,159897","61,402554"
1065,Южноуральск,Уральский,"54,442455","61,268229"
1069,Юрюзань,Уральский,"54,854646","58,422662"
