,Город,Федеральный округ,lat,lng
14,Алдан,Дальневосточный,"58,609451","125,381673"
151,Верхоянск,Дальневосточный,"67,550161","133,390702"
155,Вилюйск,Дальневосточный,"63,751722","121,627326"
507,Ленск,Дальневосточный,"60,713731","114,911844"
572,Мирный,Дальневосточный,"62,541028","113,978692"
617,Нерюнгри,Дальневосточный,"56,659948","124,720315"
673,Нюрба,Дальневосточный,"63,278463","118,336617"
688,Олёкминск,Дальневосточный,"60,375796","120,406013"
742,Покровск,Дальневосточный,"61,48424","129,148219"
879,Среднеколымск,Дальневосточный,"67,458183","153,707009"
936,Томмот,Дальневосточный,"58,958666","126,287579"
959,Удачный,Дальневосточный,"66,406995","112,306362"
1072,Якутск,Дальневосточный,"62,028103","129,732663"
