,Город,Федеральный округ,lat,lng
192,Гаврилов-Ям,Центральный,"57,303309","39,849086"
232,Данилов,Центральный,"58,187861","40,174815"
530,Любим,Центральный,"58,362004","40,686873"
595,Мышкин,Центральный,"57,787134","38,455332"
720,Переславль-Залесский,Центральный,"56,736093","38,85431"
753,Пошехонье,Центральный,"58,503749","39,12005"
787,Ростов,Центральный,"47,222078","39,720349"
794,Рыбинск,Центральный,"58,048454","38,858406"
951,Тутаев,Центральный,"57,8688","39,530759"
958,Углич,Центральный,"57,526592","38,319372"
1077,Ярославль,Центральный,"57,626569","39,893787"
